NaCl conc,CaCl2 conc,Bulk cond
5,5,1598.9
10,10,2938.9
15,15,4334.4
20,20,5638.5
25,25,6875.1
30,30,8179.4
35,35,9365.9
40,40,10611
45,45,11774
50,50,12940
2.5,5,1346.2
5,10,2546.1
7.5,15,3681.4
10,20,4769.8
12.5,25,5831.7
15,30,6918.5
17.5,35,7944.2
20,40,8972.7
22.5,45,9982
25,50,10970
5,2.5,1069.1
10,5,2061.2
15,7.5,2995.2
20,10,3902.9
25,12.5,4787.8
30,15,5671.5
35,17.5,6536.8
40,20,7394.8
45,22.5,8250.6
50,25,9074.5
0,0,4.25
1,0,112.31
2,0,220.46
3,0,321.83
4,0,421.4
5,0,525.06
10,0,1030.1
20,0,2008.1
30,0,2958.3
40,0,3882.1
50,0,4795
60,0,5733.2
70,0,6640.2
80,0,7488.2
90,0,8316.1
100,0,9244
0,0,3.58
0,1,213.19
0,2,460.66
0,3,635.62
0,4,817.65
0,5,1022.3
0,10,1962.8
0,20,3763.7
0,30,5430.7
0,40,6950.5
0,50,8634.8
0,60,10170
0,70,11694
0,80,13409
0,90,14813
0,100,16310
